Playing Squash,979.6024507415294
Holidays Skiing,1085.7939370430022
Being a Spy,965.3606109605195
A Tech Bro,1085.6754347365086
Being a RA,1024.0617270201917
Medical data for profit,991.5237784889954
A fancy dressing gown,1035.5848292960943
Not dating an individual because of the actions of their state,874.389942908138
Parents own multiple properties,956.9353249924545
Campaigned for a corrupt politician (parked in disabled parking bays),1023.2467100274112
Rejecting anticapitalism,1009.3882114677593
Patagonia jumper,1010.6675824181391
Blazers,982.2924653504917
Trenchcoat,981.1452114288136
Ponytail,978.2652887682056
Crossfit,980.0
Ordering things on Amazon,1020.0699500313713
Speaking French,1013.4905015037172
Went to Cambridge,1057.7075346495083
Went to Oxford,962.2924653504917
Giving your blood for your country,982.5060428166574
Dating someone who went to Westminster school,1000.0
Enjoying going to Japan,1000.0
